id,dong,bus_station,bcc_rentalshop,hanriver_acc,history,theater,art,culture,museum,library,perfomance,park,shopping,doolle_munhwagil,gym,amusement_park,book,general_restaurant,rest_restaurant,restroom,bike_rental_mean,seoul_sites
522,수궁동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
523,수유3동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
524,신갈동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
525,신당1동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
526,신사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
527,신시동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
528,신청동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
529,신촌로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
530,안암동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
531,알원본동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
532,여의도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
533,여의도도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
534,연촌동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
535,연화동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
536,연회동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
537,영등포1동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
538,오리동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
539,왕십리동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
540,용산2가동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
541,용산동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
542,용신동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
543,용암동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
544,우장산동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
545,원효동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
