,company,brand,category,estb_date,com_type,register_date,asset_2018,debt_2018,equity_2018,sales_2018,opr_2018,ni_2018,asset_2019,debt_2019,equity_2019,sales_2019,opr_2019,ni_2019,asset_2020,debt_2020,equity_2020,sales_2020,opr_2020,ni_2020,emp_임원,emp_직원,emp_total,n_brand,family_com,fran_start_year,total_store_2018, com_own_store_2018, fran_store_2018,total_store_2019, com_own_store_2019, fran_store_2019,total_store_2020, com_own_store_2020, fran_store_2020,new_store_2018, finish_1_store_2018, finish_2_store_2018,new_store_2019, finish_1_store_2019, finish_2_store_2019,new_store_2020, finish_1_store_2020, finish_2_store_2020,sub_hq, adv_fee, sales_fee, fran_type, deposit_fee,violation_1, violation_2, violation_3,fran_fee, traing_fee, deposit, etc_fee, total_fee,interior_fee_per_area, area_criterion, total_interior_fee,contract_term_initial, contract_term_re
4810,(주)라붐팩토리,라붐커피(LABOOMCOFFEE),커피,2014.05.09,법인,2020.07.08,"1,257,475","873,782","383,693","1,958,014","99,212","70,905","1,695,550","1,191,194","504,356","2,992,706","77,545","120,663","1,771,483","1,245,388","526,095","2,556,774","14,492","21,739",1,27,28,1,0,12/2/2015,5,2,3,5,2,3,5,2,3,2,0,0,0,0,0,0,0,0,0,"1,370",0,보험,"43,000",0,0,0,"22,000","11,000","10,000","227,150","270,150","2,915",165,"145,750",2,1
4846,(주)카페홀릭,카페홀릭(CAFEHOLIC),커피,2013.09.01,법인,2018.02.21,"246,195","547,546","-301,351","659,371","-22,479","-23,960","312,136","605,110","-292,974","802,996","7,457","8,377","452,449","797,441","-344,992","695,461","-51,396","-52,017",2,1,3,2,0,1/25/2015,8,2,6,9,1,8,9,1,8,5,1,0,3,1,0,0,0,0,0,"3,369",0,예치제,"16,200",1,0,0,"9,900","3,300","3,000","41,800","58,000","1,375",26,"11,000",1,1
4847,(주)카페홀릭,웨일즈커피(WHALESCOFFEE),커피,2013.09.01,법인,2018.02.21,"246,196","547,547","-301,351","659,371","-22,479","-23,960","312,136","605,110","-292,974","802,996","7,457","8,377","452,449","797,441","-344,992","695,461","-51,396","-52,017",2,1,3,2,0,11/1/2018,1,1,0,2,1,1,3,1,2,0,0,0,1,0,0,1,0,0,0,"3,369",0,예치제,"21,500",1,0,0,"13,200","3,300","5,000","109,450","130,950","1,833",99,"55,000",1,1
4899,(주)우드앤우즈,카카듀,커피,2012.02.14,법인,2018.01.25,"2,594,909","935,978","1,658,931","1,828,439","7,141","34,796","2,746,433","1,047,817","1,698,616","1,727,315","36,483","39,685","2,794,663","994,421","1,800,242","1,592,067","86,502","80,085",4,3,7,1,0,1/2/2017,7,3,4,4,0,4,4,0,4,4,0,0,1,1,0,0,0,0,0,232,0,보험,"13,800",0,0,0,"5,500","3,300","5,000","72,160","85,960","2,200",50,"33,000",2,1
4952,(주)바리스타비,바리스타비,커피,2009.06.29,법인,2009.08.21,"146,991","48,472","98,519","164,646","-6,984","-8,265","139,756","40,256","99,500","110,702","2,481",979,"97,270","59,091","38,179","70,307","-61,663","-61,320",3,1,4,2,0,9/13/2009,19,0,19,11,0,11,11,0,11,2,2,0,1,8,1,0,0,0,0,0,0,보험,"3,300",0,0,0,"2,200","1,100",0,"33,000","36,300","2,860",17,"14,300",2,2
4996,(주)아프리카커피가게앤학원,아프리카커피초콜릿,커피,2015.08.18,법인,2017.12.29,"490,303","455,008","35,295","356,198","-48,295","9,024","496,823","454,617","42,206","508,584",-921,"6,910","531,895","481,904","49,991","428,741","5,397","7,785",6,7,13,1,0,6/1/2016,6,2,4,7,1,6,11,2,9,1,0,0,2,0,0,3,0,0,0,"1,088",0,예치제,"13,800",0,0,0,"5,500","3,300","5,000","65,200","79,000","3,333",30,"30,000",2,1
4999,(주)베모스,카페띠아모,커피,2006.09.29,법인,2009.09.02,"6,584,122","4,445,301","2,138,821","9,213,748","141,396","58,826","6,519,026","4,333,996","2,185,030","6,871,510","131,435","46,206","6,138,192","4,383,454","1,754,738","4,720,407","-289,947","-430,291",5,12,17,1,0,4/1/2005,155,7,148,137,7,130,118,4,114,8,21,0,4,22,0,1,17,0,0,"20,389",0,예치제,"21,000",0,0,0,"7,700","3,300","10,000","156,051","177,051","2,983",99,"89,500",3,1
5019,(주)에스앤큐플러스,토프레소,커피,2012.08.22,법인,2008.09.11,"2,303,810","1,904,735","399,075","6,381,871","48,645","21,897","2,316,013","1,896,199","419,814","6,313,827","31,686","20,739","2,205,353","1,790,537","414,816","5,601,859","2,505","-4,997",3,27,30,1,0,10/1/2005,246,1,245,239,1,238,225,0,225,31,0,42,25,0,32,22,0,35,0,"158,678",0,보험,"8,600",0,0,0,"3,300","3,300","2,000","58,916","67,516","2,475",26,"19,800",2,1
5074,(주)달콤,달콤,커피,2013.02.01,법인,2012.03.30,"14,984,792","10,251,334","4,733,458","20,048,468","574,013","602,671","24,472,784","20,470,151","4,002,633","18,540,778","-3,538,898","-3,585,467","25,972,183","28,151,020","-2,178,837","19,186,823","-3,854,347","-6,143,585",4,185,189,1,1,5/7/2012,174,22,152,169,31,138,171,33,138,54,0,12,19,0,20,14,1,14,1,"243,582","69,784",예치제,"21,000",0,0,0,"7,700","3,300","10,000","161,800","182,800","2,825",132,"113,000",3,3
5127,(주)전광수커피,전광수커피,커피,2018.01.01,법인,2016.04.07,"30,000",0,"30,000",0,0,0,"212,382","149,011","63,371","736,580","36,101","33,370","364,868","300,481","64,387","1,397,760","-7,146","1,015",2,13,15,1,0,3/21/2016,20,3,17,18,3,15,17,3,14,1,0,1,1,0,3,0,0,1,0,"20,707",0,예치제,"16,500",0,0,0,"3,500","8,000","5,000","158,000","174,500","3,000",83,"75,000",3,1
5129,(주)도남에프앤에프,커피펍스,커피,2011.12.09,법인,2015.11.26,"1,082,822","913,782","169,040","1,884,470","299,814","196,345","1,200,286","1,005,507","194,779","1,654,360","64,547","25,739","1,178,583","951,213","227,370","1,687,572","51,296","32,794",1,4,5,2,0,11/26/2015,4,0,4,3,0,3,2,0,2,1,0,1,0,0,1,0,0,1,0,0,0,예치제,"12,000",0,0,0,"8,800","2,200","1,000","33,880","45,880","2,200",33,"22,000",2,1
5150,(주)딜라잇코리아,DELIGHT6(딜라잇식스),커피,2016.06.07,법인,2016.09.07,"426,859","580,982","-154,123","417,969","-154,973","-156,238","398,948","675,275","-276,327","444,957","-117,275","-122,203","383,358","681,172","-297,814","532,955","-21,237","21,487",2,1,3,1,0,6/21/2016,4,0,4,4,0,4,4,0,4,1,0,1,0,0,0,0,0,0,0,855,0,예치제,"13,800",0,0,0,"5,500","3,300","5,000","52,800","66,600","1,870",33,"18,700",2,1
5178,(주)카페판다,카페판다,커피,2017.06.23,법인,2020.01.06,"149,965","158,046","-8,081","158,614","-27,063","-28,081","245,056","286,417","-41,361","500,451","-115,573","-112,128","568,384","721,702","-153,318","832,569","-111,902","-111,956",1,3,4,1,0,7/19/2019,2,2,0,3,3,0,10,6,4,0,0,0,0,0,0,4,0,0,0,155,0,예치제,"8,600",0,0,0,"3,300","3,300","2,000","53,350","61,950","2,200",33,"22,000",2,2
5189,(주)나인어클락,나인어클락커피,커피,2014.08.30,법인,2014.10.07,"53,318","113,301","-59,983","122,797","-30,109","-32,610","38,932","110,333","-71,401","160,933","-9,007","-11,418","32,112","102,959","-70,847","181,285",220,553,2,1,3,1,0,8/1/2014,12,1,11,7,1,6,3,1,2,4,0,1,0,5,0,0,4,0,0,0,0,예치제,"4,950",0,0,0,"3,300","1,650",0,"67,100","72,050","2,200",66,"44,000",2,1
5202,(주)웨이닝코리아,더웨이닝커피(THEWAIN-INGCOFFEE),커피,2011.07.20,법인,2012.03.16,"1,566,562","1,207,727","358,835","2,447,193","130,508","88,422","1,951,549","1,458,124","493,425","3,013,336","128,706","134,590","2,748,380","1,867,997","880,383","3,595,640","360,417","386,958",3,28,31,1,0,2/22/2010,32,3,29,34,4,30,36,4,32,4,4,0,2,1,0,6,4,0,0,0,0,보험,"16,000",0,0,0,"7,700","3,300","5,000","145,200","161,200","2,420",99,"72,600",3,1
5211,(주)씨티씨피,커피더캠프,커피,2016.11.15,법인,2016.12.21,"434,971","311,821","123,150","1,135,531","76,695","63,363","870,254","676,150","194,104","1,138,406","90,981","70,953","1,081,467","884,273","197,194","1,102,721","28,776","3,090",2,16,18,1,0,11/29/2016,26,2,24,23,2,21,19,2,17,14,0,0,2,0,5,1,7,0,0,"14,679",0,보험,"4,650",0,0,0,0,"1,650","3,000","74,272","78,922","1,870",50,"28,050",2,1
5216,(주)프롬하츠,프롬하츠(FROMHEARTS),커피,2016.02.18,법인,2017.10.13,"395,251","212,335","182,916","577,073","87,118","165,264","667,274","447,931","219,343","1,139,845","-28,449","36,425","1,128,826","905,459","223,367","1,753,353","10,570","4,025",1,17,18,1,0,3/1/2016,6,1,5,11,3,8,16,5,11,4,0,0,3,0,0,3,0,0,0,"2,939",0,보험,"16,350",0,0,0,"7,700","1,650","7,000","134,200","150,550","2,035",99,"61,050",3,2
5229,(주)브라우니30,카페브라우니30(CAFEBROWNY30),커피,2016.12.01,법인,2018.02.23,"188,927","241,246","-52,319","282,395","-38,241","-41,006","139,353","168,808","-29,455","391,886","26,023","22,863","95,275","121,768","-26,493","182,530",792,"2,963",1,0,1,1,1,12/20/2016,2,1,1,4,1,3,4,1,3,1,0,0,2,0,0,0,0,0,0,0,"1,413",보험,"19,300",0,0,0,"11,000","3,300","5,000","106,272","125,572","2,200",50,"33,000",2,2
5279,카페일루이스(주),카페일루이스,커피,2009.03.02,법인,2009.04.17,"996,596","971,524","25,072","2,077,285","41,779","5,332","1,407,070","1,347,063","60,007","1,663,632","52,113","34,935","1,573,599","1,508,005","65,594","1,452,904","49,708","5,586",2,9,11,1,0,1/1/2008,41,3,38,37,1,36,36,0,36,1,6,0,6,0,8,3,0,3,0,"5,362",0,예치제,"12,980",0,0,0,"11,000","1,980",0,"187,722","200,702","3,000",132,"120,000",1,1
