id,name,sic,sic_adj,fran,nbran,dome,year,gta,gts,roa,roe,opr,nir,deratio,icr,ncratio,nclratio,cratio,qratio,cashratio,tat,set,ncat,ivt,eff_inv,eff_wquip,opersurp,laborcost,finexp,dep,roa_roa,roa_nir,roa_tat,roe_roe,roe_nir,roe_tat,roe_drl,opercf,invcf,fincf,dcl,dol,dfl
2021_15,(주)보나비,56191,5,2,1,1,2020,-7.36,-2.76,-13.32,-126.97,-8.49,-12.08,2521.27,-4.23,2412.43,266.54,12.17,8.25,1.14,1.1,10.51,1.2,46.94,42.46,72.63,-8364.64,18368.09,1078.68,17746.45,-13.32,-12.08,1.1,-126.97,-12.08,1.1,26.21266809,9755,-4545,-5058,-4.169559657,-5.933342979,0.702733631
2021_16,(주)브레댄코,56191,5,1,1,1,2020,-15.57,-40.65,-1.45,0,-0.32,-0.67,0,-2.96,0,0,15.69,15.69,6.92,2.18,0,2.83,0,61.14,140.15,-52.687,1644.69,13,219.37,-1.45,-0.67,2.18,0,-0.67,2.18,-1.643120815,-560,399,-72,-78.27803321,-163.7391472,0.478065475
2021_17,(주)삼양에프앤비,56123,4,2,2,1,2020,-49.05,-79.39,-22.18,0,-31.44,-40.9,0,-2.07,0,0,14.03,14.02,2.77,0.54,0,1.51,76.66,27.63,4944.06,-1086.748,956.68,244.91,728.69,-22.18,-40.9,0.54,0,-40.9,0.54,-0.185172927,82,1931,-1690,-1.283157029,-1.669002825,0.768816571
2021_18,(주)삼원가든,56113,1,2,1,1,2020,-15.94,-32.36,-21.18,0,-20.47,-21.1,0,-11.15,0,0,31.03,28.91,13.55,1,0,1.47,25.9,43.99,90.26,-5681.614,11403.09,421.14,543.5,-21.18,-21.1,1,0,-21.1,1,-101.9423671,-5531,-849,2000,-4.739042003,-4.885350827,0.970051521
2021_19,(주)새벽집,56111,1,2,1,1,2020,-2.1,-16.5,-6.32,-17.18,-6.67,-22.54,194.34,-1.28,268.15,249.62,14.02,13.83,3.99,0.28,0.76,0.31,290.28,0.89,1,-943.265,872.18,386,102.8,-6.32,-22.54,0.28,-17.18,-22.54,0.28,2.943447818,-91,-649,867,-0.936720161,-3.165181736,0.295945143
2021_20,(주)소우케이티지푸드,56113,1,2,1,1,2020,-1.32,-7.08,-0.93,-3.6,1.91,-8.36,292.67,0.16,390.56,386.18,0.72,0.42,0.13,0.11,0.43,0.11,51.94,5.97,6,-185.58,658.29,219.79,163.08,-0.93,-8.36,0.11,-3.6,-8.36,0.11,3.926685766,-38,-58,0,-7.402770538,32.38219819,-0.228606177
2021_21,(주)신라명과,56191,5,1,2,1,2020,2.87,4.74,2.29,6.03,2.1,1.47,158.56,5.01,129.11,77.69,140.12,124.14,53.19,1.56,4.1,2.99,26.5,18.34,37.7,814.199,2649.31,157.43,1621.76,2.29,1.47,1.56,6.03,1.47,1.56,2.585629248,2208,-709,-784,17.5471552,12.29662915,1.426989055
2021_22,(주)신화아이푸드,56300,11,2,2,1,2020,14.3,-18.27,5.01,9.68,7.66,6.78,96.42,5.58,140.09,110.05,81.49,81.07,0.43,0.74,1.43,1,297.44,9.62,16.53,3978.931,662.32,645.99,1488.08,5.01,6.78,0.74,9.68,6.78,0.74,1.964209422,5953,-13730,7669,1.885995303,1.667955842,1.130722562
2021_23,(주)쓰리에프글로벌,56111,1,2,1,1,2020,10.01,-39.89,-0.35,-0.54,-3.98,-1.7,63.08,-1.26,128.02,102.33,92.32,91.48,34.97,0.21,0.32,0.25,79.96,7.89,10.95,-488.631,2261.14,187.32,510.33,-0.35,-1.7,0.21,-0.54,-1.7,0.21,1.63081928,221,-259,1,-26.47033987,-11.29819688,2.342881803
2021_24,(주)안스베이커리,56191,5,2,1,1,2020,-19.59,-16.91,-18.76,-49.93,-6.57,-5.08,216.22,-44.63,119.44,65.37,147.38,138.91,3.46,3.69,9.83,9.5,106.19,144.62,464.77,-561.726,1797.51,11.77,305.8,-18.76,-5.08,3.69,-49.93,-5.08,3.69,3.162168923,405,-71,-400,-7.131776243,-5.519437919,1.292120022
