year,name,category,fran,nbran,gta,gts,roa,opr,nir,deratio,tat
2016,(주)할리스에프앤비,주점 및 비알콜,1,2,16.36,18.45,9.32,9.9,7.08,39.94,1.32
2017,(주)할리스에프앤비,주점 및 비알콜,1,2,-3.82,9.52,12.1,10.91,8.86,51.58,1.37
2018,(주)할리스에프앤비,주점 및 비알콜,1,2,7.8,9.96,11.42,10.53,7.75,38.5,1.47
2019,(주)할리스에프앤비,주점 및 비알콜,1,2,75.54,6.48,6,9.38,5.46,121.91,1.1
2020,(주)할리스에프앤비,주점 및 비알콜,1,2,-19.4,-14.76,-0.69,2.61,-0.85,120.13,0.81
2016,(주)핫시즈너,간이식,1,1,17.23,-5.08,17.53,10.16,7.44,33.36,2.36
2017,(주)핫시즈너,간이식,1,1,13.43,15.36,14,9.86,5.94,38.57,2.36
2018,(주)핫시즈너,간이식,1,1,58.85,23.29,18.41,12.18,8.71,68.62,2.11
2019,(주)핫시즈너,간이식,1,1,36.79,-0.84,9.33,9.65,6.47,95.95,1.44
2020,(주)핫시즈너,간이식,1,1,6.49,-3.47,-0.53,0.24,-0.46,110.94,1.17
2016,(주)혜인식품,다업종업,1,2,18.15,-7.02,20.32,35.13,28.52,11.23,0.71
2017,(주)혜인식품,다업종업,1,2,13.36,-2.16,15.51,23.34,25.71,6.47,0.6
2018,(주)혜인식품,다업종업,1,2,11.99,3.12,12.96,24.75,23.48,7.64,0.55
2019,(주)혜인식품,다업종업,1,2,11.02,-8.95,9.81,24.46,21.74,7.19,0.45
2020,(주)혜인식품,다업종업,1,2,10.48,5.7,9.03,26.46,20.97,7.7,0.43
2020,(주)후니에프앤비,한식,1,1,-1.62,-24.5,3.87,2.03,2.21,32.65,1.75
2016,CJ푸드빌주식회사,다업종업,1,2,-0.46,3.66,0.93,0.61,0.42,437.11,2.23
2017,CJ푸드빌주식회사,다업종업,1,2,12.64,0.68,-6.76,1.51,-3.2,987.49,2.12
2018,CJ푸드빌주식회사,다업종업,1,2,-9.45,-21.91,-1.5,-4.49,-0.91,1120.61,1.64
2019,CJ푸드빌주식회사,다업종업,1,2,8.47,-17.19,5.44,-0.8,3.97,675.58,1.37
2020,CJ푸드빌주식회사,다업종업,1,2,-16.19,-31.28,6.53,-8.66,6.64,686.16,0.98
2016,갓파크리에이트코리아주식회사,한식,2,1,-9.32,16.62,19.2,11.73,10.47,0,1.83
2017,갓파크리에이트코리아주식회사,한식,2,1,0.78,3.74,14.45,8.87,7.25,1094.07,1.99
2018,갓파크리에이트코리아주식회사,한식,2,1,11.12,4.45,5.14,3.28,2.61,705.43,1.96
2019,갓파크리에이트코리아주식회사,한식,2,1,-6.23,-5.16,-8.69,-3.24,-4.76,2246.26,1.83
2020,갓파크리에이트코리아주식회사,한식,2,1,-6.19,-17.6,-9.01,-3.78,-5.61,0,1.61
2016,교촌에프앤비(주),피자/치킨업,1,2,5.88,13.03,18.04,6.08,3.55,136.48,5.08
2017,교촌에프앤비(주),피자/치킨업,1,2,7.7,9.52,5.84,6.4,1.12,125.72,5.21
2018,교촌에프앤비(주),피자/치킨업,1,2,49.93,3.65,14.47,5.99,3.47,69.84,4.17
2019,교촌에프앤비(주),피자/치킨업,1,2,37.18,11.73,18.66,8.64,5.7,78.38,3.27
2020,교촌에프앤비(주),피자/치킨업,1,2,51.9,18.03,10.3,6.56,3.89,42.04,2.65
2020,꿈꾸는이상(주),한식,1,2,81.23,-22.38,1.31,5.94,2.26,406.2,0.58
2017,더부쓰,주점 및 비알콜,1,1,,,-103.05,-5.68,-75.97,412.58,1.36
2018,더부쓰,주점 및 비알콜,1,1,-22.19,11.11,-52,-5.33,-61.35,0,0.85
2019,뚜쥬루개발(주),제과점업,2,1,25.73,35.52,1.28,3.1,2.17,383.76,0.59
2020,뚜쥬루개발(주),제과점업,2,1,1.82,16.46,5.68,9.98,9.28,285.69,0.61
2016,로쏘주식회사,제과점업,2,2,32.32,-0.16,25.12,23.49,18.98,20.91,1.32
2017,로쏘주식회사,제과점업,2,2,14.12,4.16,15.87,17.93,14.04,22.52,1.13
2018,로쏘주식회사,제과점업,2,2,20.92,25.63,18.35,17.99,15.21,27.68,1.21
2019,로쏘주식회사,제과점업,2,2,9.44,-0.14,17.6,20.15,16.75,17.95,1.05
2020,로쏘주식회사,제과점업,2,2,-0.87,-8.07,4.2,12.67,4.53,12.67,0.93
2016,롯데지알에스주식회사,다업종업,1,2,18.92,-1.17,-1.08,2.03,-1.19,105.28,0.9
2017,롯데지알에스주식회사,다업종업,1,2,-1.44,-4.41,-2.75,0.35,-3.44,94.71,0.8
2018,롯데지알에스주식회사,다업종업,1,2,-35.14,-8.38,-3.5,0.79,-3.91,194.91,0.9
2019,롯데지알에스주식회사,다업종업,1,2,11.97,1.06,0.88,2.54,0.81,220.81,1.09
2020,롯데지알에스주식회사,다업종업,1,2,2.39,-18.67,-4.04,-2.85,-4.9,276.22,0.83
2016,리치푸드(주),주점 및 비알콜,1,2,-8.5,-28.02,0.32,2.55,0.28,21.54,1.15
2017,리치푸드(주),주점 및 비알콜,1,2,-0.48,-3.12,2.3,4.43,1.96,21.7,1.17
2018,리치푸드(주),주점 및 비알콜,1,2,-1.57,-6.43,0.7,1.75,0.63,18.79,1.11
2019,리치푸드(주),주점 및 비알콜,1,2,48.2,-29.27,32.93,1.16,51.69,19.61,0.64
2020,리치푸드(주),주점 및 비알콜,1,2,-7.5,-32.73,0.87,-1.34,2.34,9.54,0.37
2016,버자야에이치알카페코리아주식회사,서양식,2,1,44.49,509.75,-39.85,-42.3,-54.24,0,0.73
2017,버자야에이치알카페코리아주식회사,서양식,2,1,-15.86,21.64,-30.69,-35.41,-37.37,190.23,0.82
2018,버자야에이치알카페코리아주식회사,서양식,2,1,-27.02,-23.48,-42.62,-55.81,-53.6,0,0.8
2019,버자야에이치알카페코리아주식회사,서양식,2,1,4.35,-84.67,-63.95,-230.87,-452.28,0,0.14
2016,본아이에프주식회사,한식,1,2,21.3,12.99,13.51,5.96,4.04,73.59,3.34
2017,본아이에프주식회사,한식,1,2,0.73,6.71,10.67,4.93,3.29,67.65,3.24
2018,본아이에프주식회사,한식,1,2,88.43,19.8,3.01,3.41,1.12,194.44,2.69
2019,본아이에프주식회사,한식,1,2,-0.51,2.77,-2.21,0.16,-1.04,213.26,2.12
2020,본아이에프주식회사,한식,1,2,-8.21,-8.26,0.69,2.37,0.34,395.85,2.03
2016,본촌인터내셔날(주),피자/치킨업,2,1,13.39,62.66,28.69,47.46,39.72,161.86,0.72
2017,본촌인터내셔날(주),피자/치킨업,2,1,22.49,16.17,28.03,51.02,39.49,78.67,0.71
2018,본촌인터내셔날(주),피자/치킨업,2,1,201.94,15.36,18.4,54.97,49.74,23.07,0.37
2019,본촌인터내셔날(주),피자/치킨업,2,1,5.16,13.01,9.28,60.07,34.22,17.97,0.27
2020,본촌인터내셔날(주),피자/치킨업,2,1,7.06,3.63,11.83,64.6,44.65,14.5,0.26
2020,본푸드서비스주식회사,한식,1,2,-20.64,-14.05,-26.89,-5.5,-7.61,214.84,3.53
2016,비알코리아(주),주점 및 비알콜,1,2,4.82,-2.24,7.77,7.96,7.03,19.93,1.11
2017,비알코리아(주),주점 및 비알콜,1,2,5.96,2.85,6.94,7.34,6.44,20,1.08
2018,비알코리아(주),주점 및 비알콜,1,2,7.65,7.09,7.05,8.06,6.52,21.44,1.08
2019,비알코리아(주),주점 및 비알콜,1,2,9.25,11.51,8.96,9.32,8.06,21.7,1.11
2020,비알코리아(주),주점 및 비알콜,1,2,9.21,4.43,8.63,9.94,8.12,23.78,1.06
2016,사과나무주식회사,주점 및 비알콜,1,1,18.72,-18.36,2.21,3.43,1.33,353.64,1.67
2017,사과나무주식회사,주점 및 비알콜,1,1,-3.21,14.72,3.71,5.02,2.07,276.71,1.79
2018,사과나무주식회사,주점 및 비알콜,1,1,5.41,20.26,4.71,11.04,2.21,235.89,2.13
2019,상진공영주식회사,중식/일식,2,1,2.35,50.34,2.19,-82,103.86,293.42,0.02
2020,서윤푸드,한식,2,1,-66.24,-20.09,-23.73,-2.37,-4.3,0,5.52
2016,석파랑,한식,2,1,-1.23,41.23,-3.47,-2.74,-12.56,1275.13,0.28
2017,석파랑,한식,2,1,-2.37,-4.15,-3.03,-1.32,-11.23,1787.55,0.27
2018,석파랑,한식,2,1,-2.24,8.15,-1.3,5.22,-4.37,969.11,0.3
2019,석파랑,한식,2,1,-1.18,-2.8,-0.49,8.62,-1.65,982.25,0.3
2016,세한주식회사,서양식,2,1,-0.54,729.4,-7.98,-30.7,-30.03,5.86,0.27
2017,세한주식회사,서양식,2,1,18.44,25.84,-8.04,-25.64,-26.18,38.23,0.31
2018,세한주식회사,서양식,2,1,43.05,6.83,-14.97,-60.43,-60.15,164.16,0.25
2019,세한주식회사,서양식,2,1,2.46,-0.25,-12.35,-56.83,-59.28,304.08,0.21
2020,세한주식회사,서양식,2,1,-12.78,-26.57,-15.34,-88.06,-95.03,739.82,0.16
2016,스무디킹코리아(주),주점 및 비알콜,1,1,-13.75,1405.69,-3.71,-4.02,-2.43,50.77,1.53
2017,스무디킹코리아(주),주점 및 비알콜,1,1,3.14,0.13,0.17,-1.1,0.11,54.16,1.63
2018,스무디킹코리아(주),주점 및 비알콜,1,1,-3.7,-16.25,-2.36,-2.75,-1.73,58.39,1.37
2019,스무디킹코리아(주),주점 및 비알콜,1,1,10.66,-10.63,-12.34,-7.92,-10.44,116.56,1.18
2020,스무디킹코리아(주),주점 및 비알콜,1,1,-20.12,-17.44,-24.24,-17.68,-23.47,221.23,1.03
2016,씨디엔에이,한식,1,1,-0.29,6.32,1.52,3.23,1.05,753.21,1.46
2017,씨디엔에이,한식,1,1,8.86,0.7,0.09,3.77,0.06,821.61,1.41
2018,씨디엔에이,한식,1,1,-8.74,9.96,-14.72,-7.38,-9.5,0,1.55
2019,씨디엔에이,한식,1,1,-24.12,-10.98,-66.64,-9.58,-40.51,0,1.64
2020,씨디엔에이,한식,1,1,-27.87,-51.49,-34.22,-42.26,-31.85,0,1.07
2016,아모제푸드(주),다업종업,2,2,-10.08,-10.7,-4.72,-0.89,-3.73,143.43,1.27
2017,아모제푸드(주),다업종업,2,2,-26.84,5.83,7.39,2.68,4.51,203.58,1.64
2018,아모제푸드(주),다업종업,2,2,-9.31,5.52,5.66,3.93,2.64,136.38,2.14
2019,아모제푸드(주),다업종업,2,2,1.92,-10.23,0.94,1.05,0.47,135.71,2
2020,아모제푸드(주),다업종업,2,2,-3.23,-71.96,-19.23,-31.55,-33.99,316.95,0.57
2016,에렉스에프앤비주식회사,다업종업,2,2,21.39,2.77,-7.81,-0.63,-3.5,470.29,2.23
2017,에렉스에프앤비주식회사,다업종업,2,2,6.47,10.68,0.59,1.02,0.27,486.9,2.18
2018,에렉스에프앤비주식회사,다업종업,2,2,-10.96,-6.08,-2.87,0.55,-1.36,521.48,2.1
2019,에렉스에프앤비주식회사,다업종업,2,2,4.6,4.04,1.96,1.94,0.86,478.1,2.27
2020,에렉스에프앤비주식회사,다업종업,2,2,-26.18,-28.93,-31.78,-13.74,-17.49,0,1.82
2016,에스플러스인터내셔널,서양식,2,2,68.52,28.78,-10.86,-44.28,-50.21,53.01,0.22
2017,에스플러스인터내셔널,서양식,2,2,-14.39,12.09,-1.97,-41.02,-9.45,33.77,0.21
2018,에스플러스인터내셔널,서양식,2,2,-5.91,-2.37,-7.71,-32.26,-34,40.07,0.23
2019,에스플러스인터내셔널,서양식,2,2,-6.59,-23.42,-4.94,-20.87,-26.67,40.4,0.19
2016,엠즈씨드주식회사,주점 및 비알콜,2,1,2.87,34.91,-2.52,0.48,-1.61,153.49,1.57
2017,엠즈씨드주식회사,주점 및 비알콜,2,1,5.34,15.79,2.15,2.98,1.24,154.68,1.74
2018,엠즈씨드주식회사,주점 및 비알콜,2,1,20.21,23.99,-2.9,-1.38,-1.52,116.1,1.91
2019,엠즈씨드주식회사,주점 및 비알콜,2,1,51.09,4.46,0.58,5.05,0.4,225.19,1.46
2020,엠즈씨드주식회사,주점 및 비알콜,2,1,-5.92,-17.05,-0.12,1.04,-0.11,206.86,1.03
2016,원앤원(주),한식,1,2,31.39,-1.76,2.18,2.53,1.39,72.88,1.56
2017,원앤원(주),한식,1,2,-1.26,-0.78,1.25,1.19,0.91,67.12,1.37
2018,원앤원(주),한식,1,2,1.42,-7.25,5.13,0.06,4.03,56.03,1.27
2019,원앤원(주),한식,1,2,1.71,-4.29,2.29,2.43,1.91,53.18,1.2
2020,원앤원(주),한식,1,2,2.27,13.43,3.45,3.79,2.58,56.89,1.33
2017,주식회사갓텐코리아,중식/일식,1,1,,,0.77,-1.4,0.15,0,5.11
2018,주식회사갓텐코리아,중식/일식,1,1,17.23,33.63,0.55,1.56,0.18,0,3.14
2019,주식회사갓텐코리아,중식/일식,1,1,-3.14,11.64,-7.97,-0.4,-2.41,0,3.3
2020,주식회사갓텐코리아,중식/일식,1,1,-11.71,0.47,-9.52,-3.37,-2.66,0,3.58
2017,주식회사고품질,한식,2,1,,,1,19.06,14.99,23.63,0.07
2018,주식회사고품질,한식,2,1,0.01,933.93,5.12,19.49,14.91,16.28,0.34
2019,주식회사고품질,한식,2,1,49.55,14.84,1.49,6.09,4.71,70.22,0.32
2020,주식회사고품질,한식,2,1,-4.2,-0.04,-4.53,11.51,-16.83,76.39,0.27
2019,주식회사김덕규과자점,제과점업,2,1,-0.28,4.31,1.42,12.03,5.13,1495.14,0.28
2020,주식회사남문,한식,2,1,-8.19,-45.94,0.38,-1.4,0.67,63.04,0.57
2016,주식회사다도글로벌,주점 및 비알콜,1,1,5.62,-33.02,-10.51,-5.21,-8.99,3639.08,1.17
2017,주식회사다도글로벌,주점 및 비알콜,1,1,-3.27,1.73,-0.6,2.22,-0.51,4548.36,1.18
2018,주식회사다도글로벌,주점 및 비알콜,1,1,-20.9,-20.93,-16.9,-7.15,-15.98,0,1.06
2019,주식회사다도글로벌,주점 및 비알콜,1,1,-5.57,-0.99,-2.19,2.03,-1.79,0,1.22
2020,주식회사다도글로벌,주점 및 비알콜,1,1,-46.76,-22.73,10.38,-15.04,8.2,0,1.27
2016,주식회사덕용푸드시스템,한식,2,2,13.65,6.11,6.19,8.7,5.66,80.81,1.09
2017,주식회사덕용푸드시스템,한식,2,2,-10.45,2.74,8.26,9.67,7.41,41.84,1.11
2018,주식회사덕용푸드시스템,한식,2,2,11.88,1.49,8.83,9.52,7.81,39.98,1.13
2019,주식회사덕용푸드시스템,한식,2,2,14.26,5.91,4.76,8.93,4.5,49.75,1.06
2020,주식회사덕용푸드시스템,한식,2,2,7.98,-21.21,8.8,5.81,11.71,41.93,0.75
2020,주식회사도레도레,주점 및 비알콜,1,2,-15.26,-30.27,-16.17,-10,-13.12,164.14,1.23
2016,주식회사디딤,한식,1,2,,,17.86,8.41,5.91,242.14,3.02
2017,주식회사디딤,한식,1,2,,,4.49,3.68,2.44,70.17,1.22
2018,주식회사디딤,한식,1,2,17.44,41.77,5.74,5.13,3.6,85.23,1.59
2019,주식회사디딤,한식,1,2,75.5,26.63,2.56,3.74,1.89,218.97,1.36
2019,주식회사뚝심,한식,1,1,27.62,5.46,-6.26,3.01,-4.97,1219.44,1.26
2020,주식회사뚝심,한식,1,1,-7.17,-17.97,-16.95,-8.06,-17.74,103.75,0.96
2020,주식회사명동교자,한식,1,1,0.4,130.24,-0.58,-1.14,-3.32,44.55,0.17
2019,주식회사바나플에프엔비,주점 및 비알콜,1,1,86.76,559.06,-30.54,-27.89,-30.65,0,1
2020,주식회사바나플에프엔비,주점 및 비알콜,1,1,-4.28,45.14,-35.08,-27.57,-30.92,0,1.13
2020,주식회사베리,서양식,2,1,-0.53,-53.42,0.12,7.04,0.97,269.5,0.12
2016,주식회사부자되세요,한식,2,1,38.26,31.22,23.03,24.03,18.32,116.52,1.26
2017,주식회사부자되세요,한식,2,1,5.08,12.35,15.69,20.33,13.22,69.5,1.19
2018,주식회사부자되세요,한식,2,1,8.75,29.63,18.68,16.98,12.99,38.56,1.44
2019,주식회사부자되세요,한식,2,1,47.12,18.35,21.19,19.17,16.03,95.58,1.32
2020,주식회사부자되세요,한식,2,1,18.9,-0.73,9.19,11.98,9.13,94.3,1.01
2018,주식회사비에이치씨,피자/치킨업,1,1,,,23.7,25.55,19.4,202.36,1.22
2019,주식회사비에이치씨,피자/치킨업,1,1,2.1,34.1,20.7,30.68,12.77,258.96,1.62
2020,주식회사비에이치씨,피자/치킨업,1,1,38.28,25.67,31.79,32.46,18.79,205.45,1.69
2016,주식회사비케이알,피자/치킨업,1,1,201.89,-9.1,4.21,4.25,3.18,31.71,1.33
2017,주식회사비케이알,피자/치킨업,1,1,9.15,36.61,-1.39,0.43,-1.2,112.98,1.15
